# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Mar 05 20:42:08 PST 2025 [seed=1741236084154]
state	country.rates.Argentina.Brazil	country.rates.Argentina.Colombia	country.rates.Argentina.Ecuador	country.rates.Argentina.Venezuela	country.rates.Brazil.Colombia	country.rates.Brazil.Ecuador	country.rates.Brazil.Venezuela	country.rates.Colombia.Ecuador	country.rates.Colombia.Venezuela	country.rates.Ecuador.Venezuela	country.indicators.Argentina.Brazil	country.indicators.Argentina.Colombia	country.indicators.Argentina.Ecuador	country.indicators.Argentina.Venezuela	country.indicators.Brazil.Colombia	country.indicators.Brazil.Ecuador	country.indicators.Brazil.Venezuela	country.indicators.Colombia.Ecuador	country.indicators.Colombia.Venezuela	country.indicators.Ecuador.Venezuela	country.nonZeroRates
47000	1.8763816265993767	0.9571862171325609	0.4191860090177104	1.0693747709633026	1.2619835443876288	0.2980764153686653	1.3658176844964969	0.7455665607957874	5.390178909370171	1.2806938197298292	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
48000	4.476884285210697	2.385102614415424	0.7299283894073556	0.8067290609903369	0.3226740568194989	0.45830252673851524	2.1026170789734606	0.9505682430187256	3.4080986313292416	1.82655873292145	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
49000	0.712207171461136	1.734837091627086	0.8686693192834475	2.5351852860541735	1.092052184780129	0.2334319089958863	1.2068181585142472	0.9730811027693059	2.134831774048903	1.9224565231211308	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0
50000	3.4505701497879397	2.408966772259615	0.851635449542289	0.8102261294404962	0.527933923966641	0.041876999330810565	1.1767039629335396	1.3652269053307253	4.832595188918153	1.33402130310874	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	6.0
51000	1.7873222377630595	0.6802002992096019	1.0035564786135363	2.653532932355183	1.2530669292413557	0.050022448223381095	0.6075843240623313	2.6164914892591744	3.615153817577965	0.31826966626404857	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	6.0
52000	0.3018478735062988	0.4434069953140519	0.6234021786648831	0.36646416759990846	0.3248927319376436	0.2556802304434953	0.39844253166320737	1.380956888526551	1.0658156440433677	0.3160885664151053	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	6.0
53000	1.1181943618681374	0.7405767391747814	0.485145948292028	0.6127286499761607	2.445203883729425	0.6150824173268313	0.19667926657545223	0.6820297115447933	0.4573324507587393	0.6911561515141577	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
54000	1.5214777963215047	1.351342501925378	0.2662444710226106	0.764672153254463	0.6701897774216861	1.5838220658734727	0.12612543405971327	0.1623767283701266	1.379494252439929	0.365860799563704	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	6.0
55000	0.9863864750356514	0.4286699245716554	2.039563681077186	0.34639878653750594	0.5669356114778688	1.3255386231554194	0.1243631628215542	0.2893612883415545	0.875097276734654	0.08972932413706766	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
56000	2.119499600128352	0.18925970566722122	3.8883954743346254	0.34887093032128674	0.3707777416305067	1.1416693241286404	0.18632369078809052	0.5076141449002813	0.6743819879046615	0.03345989580078479	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	7.0
57000	0.1802996885790074	0.40610178463000024	2.379437076167421	0.14083756989034618	1.529284020970553	2.1675359437485398	0.18598582741153152	0.6375431846010134	0.35967475376992264	0.3336246444432301	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
58000	2.911300070757489	0.139150849752455	0.4728142166349287	0.24165049946344325	1.1183822630278142	0.441048900398141	0.5923324912175368	0.41470855395321965	0.7065466507921611	0.24062207882402248	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
59000	0.30950388778565385	0.11822653490220107	0.33748139122176796	0.10469736127270536	4.746717759702755	1.1488289266765443	1.4136442936161233	0.945553894974945	1.4335005052751033	1.1213206138188996	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	6.0
60000	0.7219000377464709	0.22985260452596257	0.9903365030510213	0.2631754536143552	0.2662684475414311	0.23661034340687254	0.2660370139341445	0.30040975034258577	1.4181702921134294	0.8839156666695513	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	6.0
61000	1.7292597114396318	0.3669107229463892	0.2706945640211973	1.0586720864361356	0.38979633096128175	0.45889410609436265	0.14737775056208594	0.37007656604225747	0.5845847006194435	0.5616157169006879	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
62000	0.6358104110532163	0.06219790932849148	0.36504721031834236	0.33130913516142374	0.6062435237192855	0.2510699772584751	0.12036114038134767	0.30062441724060535	1.3860355914272382	0.7138570321689736	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	6.0
63000	1.1554476695335616	0.5581087117614872	0.10318878032618818	1.8346102436885927	0.6156952047407017	0.15370989719758352	0.3963650071393125	0.08928265548589125	2.148748109374323	0.807569058989869	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	7.0
64000	1.4279433292752728	3.0315364722574625	0.6085802811797768	0.8148236046995565	0.18729933263109	0.27915778890580734	1.5860414431333152	0.10093868257402393	2.388741047649888	1.3618187761408522	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	6.0
65000	1.7605288835862547	0.28508024642513813	0.493520844944754	0.8680878380971477	0.9434281142856799	1.152881243730453	0.8852266711657806	0.04388854984621943	2.9297060770317893	1.78206315281066	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
66000	3.515393228338919	0.7583086965065169	0.40411973799316964	1.0430556134688589	0.6760920288692175	0.2900299463256171	0.7912535081352045	0.03773389139047452	2.27522913035716	2.0751196063339585	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	6.0
67000	1.3248783841039342	1.9841696531350927	0.21839378877012702	0.6725098169139478	0.13420388756308288	0.30602102444644663	2.453178020165304	0.06624883256095022	1.823000159885819	0.40198858371670687	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0
68000	1.3000373601987054	0.7905887893234705	0.06619282568914417	0.7326501891040279	1.7377624924273671	0.25243966485351765	1.8923608989450567	0.2815786577933358	2.3777408452435216	0.8223445532632789	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	7.0
69000	1.562245655914113	0.7362929344840348	0.13254378026369779	0.32080462864590753	1.0447316557235924	0.14785869288137796	1.1535104411388808	0.7108172891633565	0.9597301133544649	1.1306842650399727	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
70000	0.5456538624451248	1.2348927023064018	0.4808695360018277	0.7578456297145224	0.1802053399638966	0.08767794883397417	0.43892710019416875	0.5055249728238	1.2620489166533162	0.8630337561129267	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
71000	2.675410795591443	3.964904535796788	0.3554621571879064	0.7214163183253383	0.11769899420920843	0.2588601686065499	0.195870183544048	0.1691073939696775	2.9065199106604505	0.5440889003153905	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
72000	1.249412043860409	0.6091372076966285	0.45201838682837114	1.829956153024235	0.08582827720679242	0.2688339887172063	0.07355309093389291	0.11084490079213544	1.2245597865500026	1.2279203658593902	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
73000	1.4555764854072775	0.2641860948033628	0.9402234746880733	1.2934198094790508	0.04056806450212062	1.7059651071548476	0.09034415011596848	1.3216649958109348	2.781772986387917	0.7916557736543129	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	7.0
74000	2.640399978899472	0.134263232654951	2.32088407751666	0.9507318393570828	0.006201893093064791	0.5565321328637297	0.04323755661885856	1.6096298145229933	2.414108534368148	1.360451293697459	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	6.0
75000	1.122328613545749	1.021273956372787	0.6174086701488809	1.1592646628927834	0.0440267436737767	1.4856615010047423	0.23048137163271168	0.47817554886731983	1.5816843015359239	0.2226371518851132	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
76000	0.4469468835332674	2.514462986067965	0.5883407308335005	0.25747374121105515	0.47010407163571816	1.265567165724625	0.1675867580429316	1.6051269093806295	0.7345443007092672	0.5161761503340107	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
77000	0.3353926585106161	0.2867280350243401	1.2210824602589205	0.16961155937439892	2.2726492040630397	2.8640301372303383	0.1357641205491713	1.5425072637402497	0.4793255460996707	1.4111931823913244	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0
